Mã NV,Họ Tên,Tuổi,Email,Lương (VND)
000,Nguyen Van A,44,user000@gmail.com,27000000
001,Nguyen Van A,65,user001@gmail.com,13000000
002,Ha A Chu,45,user002@gmail.com,12000000
003,Tran Thi B,35,user003@gmail.com,8000000
004,Tran Thi B,53,user004@gmail.com,15000000
005,Pham Thi D,35,user005@gmail.com,15000000
006,Pham Thi D,53,user006@gmail.com,17000000
007,Tran Thi B,63,user007@gmail.com,27000000
008,Ha A Chu,40,user008@gmail.com,14000000
009,Ha Kim A,62,user009@gmail.com,27000000
010,Nguyễn Anh Dũng,31,Dung@gmail.com,12000000
